latent_dim=8, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 88, 'ACC': 53.49, 'NMI': 22.689999999999998, 'PUR': 54.779999999999994}, final_result={'epoch': 149, 'ACC': 53.31, 'NMI': 22.220000000000002, 'PUR': 54.410000000000004}
latent_dim=8, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 68, 'ACC': 79.03999999999999, 'NMI': 54.2, 'PUR': 79.03999999999999}, final_result={'epoch': 149, 'ACC': 65.62, 'NMI': 44.14, 'PUR': 67.65}
latent_dim=8, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 70, 'ACC': 40.26, 'NMI': 9.82, 'PUR': 45.59}, final_result={'epoch': 149, 'ACC': 35.11, 'NMI': 8.39, 'PUR': 43.2}
latent_dim=8, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 60, 'ACC': 55.15, 'NMI': 27.77, 'PUR': 57.54}, final_result={'epoch': 149, 'ACC': 51.65, 'NMI': 23.549999999999997, 'PUR': 54.410000000000004}
latent_dim=8, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 87, 'ACC': 48.16, 'NMI': 22.59, 'PUR': 52.019999999999996}, final_result={'epoch': 149, 'ACC': 45.4, 'NMI': 20.96, 'PUR': 51.65}
latent_dim=8, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 40, 'ACC': 83.27, 'NMI': 62.83, 'PUR': 83.27}, final_result={'epoch': 149, 'ACC': 68.57, 'NMI': 59.08, 'PUR': 75.92}
latent_dim=8, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 119, 'ACC': 38.79, 'NMI': 9.29, 'PUR': 43.2}, final_result={'epoch': 149, 'ACC': 37.68, 'NMI': 9.67, 'PUR': 43.38}
latent_dim=8, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 72, 'ACC': 58.089999999999996, 'NMI': 27.48, 'PUR': 58.089999999999996}, final_result={'epoch': 149, 'ACC': 46.69, 'NMI': 22.14, 'PUR': 54.410000000000004}
latent_dim=8, p=3, learning_rate=0.01, normalize=True, best_result={'epoch': 46, 'ACC': 44.49, 'NMI': 16.55, 'PUR': 48.9}, final_result={'epoch': 149, 'ACC': 42.65, 'NMI': 17.64, 'PUR': 49.45}
latent_dim=8, p=3, learning_rate=0.01, normalize=False, best_result={'epoch': 71, 'ACC': 83.46000000000001, 'NMI': 66.32000000000001, 'PUR': 83.46000000000001}, final_result={'epoch': 149, 'ACC': 81.99, 'NMI': 63.33, 'PUR': 81.99}
latent_dim=8, p=3, learning_rate=0.0001, normalize=True, best_result={'epoch': 93, 'ACC': 32.35, 'NMI': 6.02, 'PUR': 36.76}, final_result={'epoch': 149, 'ACC': 28.860000000000003, 'NMI': 5.12, 'PUR': 36.4}
latent_dim=8, p=3, learning_rate=0.0001, normalize=False, best_result={'epoch': 92, 'ACC': 52.019999999999996, 'NMI': 21.33, 'PUR': 52.019999999999996}, final_result={'epoch': 149, 'ACC': 51.839999999999996, 'NMI': 21.21, 'PUR': 51.839999999999996}
latent_dim=8, p=4, learning_rate=0.01, normalize=True, best_result={'epoch': 113, 'ACC': 52.019999999999996, 'NMI': 24.240000000000002, 'PUR': 54.779999999999994}, final_result={'epoch': 149, 'ACC': 51.470000000000006, 'NMI': 23.56, 'PUR': 54.230000000000004}
latent_dim=8, p=4, learning_rate=0.01, normalize=False, best_result={'epoch': 77, 'ACC': 82.72, 'NMI': 62.93, 'PUR': 82.72}, final_result={'epoch': 149, 'ACC': 71.50999999999999, 'NMI': 61.739999999999995, 'PUR': 77.57}
latent_dim=8, p=4, learning_rate=0.0001, normalize=True, best_result={'epoch': 84, 'ACC': 36.4, 'NMI': 6.9, 'PUR': 39.519999999999996}, final_result={'epoch': 149, 'ACC': 33.46, 'NMI': 6.65, 'PUR': 37.87}
latent_dim=8, p=4, learning_rate=0.0001, normalize=False, best_result={'epoch': 105, 'ACC': 49.26, 'NMI': 21.41, 'PUR': 49.26}, final_result={'epoch': 149, 'ACC': 48.53, 'NMI': 21.029999999999998, 'PUR': 48.53}
latent_dim=8, p=8, learning_rate=0.01, normalize=True, best_result={'epoch': 86, 'ACC': 51.29, 'NMI': 21.95, 'PUR': 53.68000000000001}, final_result={'epoch': 149, 'ACC': 50.739999999999995, 'NMI': 22.34, 'PUR': 53.86}
latent_dim=8, p=8, learning_rate=0.01, normalize=False, best_result={'epoch': 77, 'ACC': 75.18, 'NMI': 49.419999999999995, 'PUR': 75.18}, final_result={'epoch': 149, 'ACC': 66.73, 'NMI': 48.209999999999994, 'PUR': 75.74}
latent_dim=8, p=8, learning_rate=0.0001, normalize=True, best_result={'epoch': 87, 'ACC': 32.9, 'NMI': 4.130000000000001, 'PUR': 38.05}, final_result={'epoch': 149, 'ACC': 29.23, 'NMI': 4.41, 'PUR': 36.95}
