latent_dim=8, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 7, 'ACC': 52.01, 'NMI': 56.42, 'PUR': 70.49}, final_result={'epoch': 149, 'ACC': 40.57, 'NMI': 62.71, 'PUR': 79.42}
latent_dim=8, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 1, 'ACC': 47.32, 'NMI': 48.05, 'PUR': 64.25}, final_result={'epoch': 149, 'ACC': 38.01, 'NMI': 60.129999999999995, 'PUR': 74.9}
latent_dim=8, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 19, 'ACC': 52.51, 'NMI': 57.31, 'PUR': 71.04}, final_result={'epoch': 149, 'ACC': 41.370000000000005, 'NMI': 59.97, 'PUR': 74.64}
latent_dim=8, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 1, 'ACC': 59.68, 'NMI': 60.260000000000005, 'PUR': 71.67}, final_result={'epoch': 149, 'ACC': 30.97, 'NMI': 55.620000000000005, 'PUR': 70.12}
latent_dim=8, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 3, 'ACC': 61.61, 'NMI': 57.35, 'PUR': 71.84}, final_result={'epoch': 149, 'ACC': 32.519999999999996, 'NMI': 56.67, 'PUR': 72.17}
latent_dim=8, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 10, 'ACC': 52.51, 'NMI': 59.3, 'PUR': 72.0}, final_result={'epoch': 149, 'ACC': 35.88, 'NMI': 57.3, 'PUR': 72.0}
latent_dim=8, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 0, 'ACC': 44.22, 'NMI': 56.44, 'PUR': 73.68}, final_result={'epoch': 149, 'ACC': 38.6, 'NMI': 60.260000000000005, 'PUR': 76.87}
latent_dim=8, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 1, 'ACC': 45.93, 'NMI': 57.089999999999996, 'PUR': 73.97}, final_result={'epoch': 149, 'ACC': 38.85, 'NMI': 59.940000000000005, 'PUR': 76.49000000000001}
latent_dim=8, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 6, 'ACC': 44.68, 'NMI': 58.95, 'PUR': 76.44999999999999}, final_result={'epoch': 149, 'ACC': 39.4, 'NMI': 60.91, 'PUR': 77.37}
latent_dim=8, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 3, 'ACC': 47.07, 'NMI': 61.92999999999999, 'PUR': 77.16}, final_result={'epoch': 149, 'ACC': 35.620000000000005, 'NMI': 59.25, 'PUR': 74.9}
latent_dim=8, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 1, 'ACC': 49.75, 'NMI': 58.93000000000001, 'PUR': 75.22999999999999}, final_result={'epoch': 149, 'ACC': 35.83, 'NMI': 59.0, 'PUR': 76.07000000000001}
latent_dim=8, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 19, 'ACC': 48.53, 'NMI': 62.57, 'PUR': 77.83}, final_result={'epoch': 149, 'ACC': 38.18, 'NMI': 59.28, 'PUR': 75.52}
latent_dim=8, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 139, 'ACC': 72.8, 'NMI': 73.28, 'PUR': 82.61}, final_result={'epoch': 149, 'ACC': 65.0, 'NMI': 71.03, 'PUR': 81.39}
latent_dim=8, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 121, 'ACC': 71.41999999999999, 'NMI': 71.39999999999999, 'PUR': 81.31}, final_result={'epoch': 149, 'ACC': 70.66, 'NMI': 71.25, 'PUR': 80.89}
latent_dim=8, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 51, 'ACC': 67.35, 'NMI': 67.46, 'PUR': 76.95}, final_result={'epoch': 149, 'ACC': 60.23, 'NMI': 65.82000000000001, 'PUR': 77.7}
latent_dim=8, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 24, 'ACC': 68.02, 'NMI': 66.29, 'PUR': 76.49000000000001}, final_result={'epoch': 149, 'ACC': 63.5, 'NMI': 68.03, 'PUR': 78.71000000000001}
latent_dim=8, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 117, 'ACC': 65.8, 'NMI': 69.28999999999999, 'PUR': 78.25}, final_result={'epoch': 149, 'ACC': 63.870000000000005, 'NMI': 68.12, 'PUR': 77.41}
latent_dim=8, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 104, 'ACC': 66.60000000000001, 'NMI': 68.26, 'PUR': 78.16}, final_result={'epoch': 149, 'ACC': 65.84, 'NMI': 68.12, 'PUR': 78.53999999999999}
latent_dim=8, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 37, 'ACC': 65.13, 'NMI': 69.46, 'PUR': 82.56}, final_result={'epoch': 149, 'ACC': 61.36000000000001, 'NMI': 68.01, 'PUR': 79.46}
latent_dim=8, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 40, 'ACC': 63.580000000000005, 'NMI': 69.52000000000001, 'PUR': 82.1}, final_result={'epoch': 149, 'ACC': 62.36000000000001, 'NMI': 69.27, 'PUR': 81.14}
latent_dim=8, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 86, 'ACC': 60.9, 'NMI': 65.58, 'PUR': 79.88}, final_result={'epoch': 149, 'ACC': 59.809999999999995, 'NMI': 66.57, 'PUR': 78.88}
latent_dim=8, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 36, 'ACC': 62.82, 'NMI': 68.93, 'PUR': 81.10000000000001}, final_result={'epoch': 149, 'ACC': 59.93000000000001, 'NMI': 67.80000000000001, 'PUR': 79.03999999999999}
